question,state,year,applies to,response,citations,cautions
Does state law prohibit any people from having firearms based on other criminal history?,HI,2019,Possession,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,HI,2004,Purchase,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,AK,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OR,1994,All,Yes,Or. Rev. Stat. § 166.250,"A person who (i)  While a minor, was found to be within the jurisdiction of the juvenile court for having committed an act which, if committed by an adult, would constitute a felony or a misdemeanor involving violence, as defined in ORS 166.470; and (ii)  Was discharged from the jurisdiction of the juvenile court within four years prior to being charged under this section."
Does state law prohibit any people from having firearms based on other criminal history?,WA,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CA,1994,All,Yes,"Cal. Penal Code § 12021(d), (e)","A person who committed certain offenses as a juvenile and is adjudged a ward of the juvenile court, is prohibited from possessing a firearm until the age of 30 years."
Does state law prohibit any people from having firearms based on other criminal history?,NV,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ID,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,UT,1999,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,UT,1999,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AZ,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MT,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WY,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NM,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CO,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ND,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SD,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NE,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,TX,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,KS,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OK,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MN,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IA,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IA,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,LA,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AR,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MO,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MS,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WI,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IL,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AL,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AL,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,TN,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IN,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,KY,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MI,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MI,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,GA,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OH,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,FL,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WV,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SC,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SC,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NC,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NC,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,PA,1994,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,PA,1994,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,VA,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MD,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,DC,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NY,2017,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NY,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,DE,1994,All,Yes,"Del. Code tit. 11, § 1448(a)(4)","Any person who, as a juvenile, has been adjudicated as delinquent for conduct which, if committed by an adult, would constitute a felony, unless and until that person has reached his 25th birthday."
Does state law prohibit any people from having firearms based on other criminal history?,NJ,2012,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NJ,2012,Purchase,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,CT,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CT,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,VT,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NH,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MA,1995,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MA,1995,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,RI,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ME,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,HI,2019,Possession,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,HI,2004,Purchase,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,AK,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OR,1995,All,Yes,Or. Rev. Stat. § 166.250,"A person who (i)  While a minor, was found to be within the jurisdiction of the juvenile court for having committed an act which, if committed by an adult, would constitute a felony or a misdemeanor involving violence, as defined in ORS 166.470; and (ii)  Was discharged from the jurisdiction of the juvenile court within four years prior to being charged under this section."
Does state law prohibit any people from having firearms based on other criminal history?,WA,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CA,1995,All,Yes,"Cal. Penal Code § 12021(d), (e)","A person who committed certain offenses as a juvenile and is adjudged a ward of the juvenile court, is prohibited from possessing a firearm until the age of 30 years."
Does state law prohibit any people from having firearms based on other criminal history?,NV,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ID,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,UT,1999,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,UT,1999,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AZ,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MT,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WY,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NM,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CO,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ND,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SD,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NE,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,TX,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,KS,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OK,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MN,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IA,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IA,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,LA,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AR,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MO,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MS,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WI,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IL,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AL,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AL,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,TN,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IN,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,KY,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MI,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MI,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,GA,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OH,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,FL,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WV,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SC,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SC,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NC,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NC,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,PA,1995,All,Yes,"18 Pa. Cons. Stat. § 6105(c)(7), (8)","A juvenile who is adjudicated delinquent is prohibited from possessing a firearm for 15 years or until the age of 30, whichever is earlier, if the offense for which the juvenile is adjudicated is one for which conviction of an adult would prohibit firearm possession, or is one of certain violent offenses."
Does state law prohibit any people from having firearms based on other criminal history?,VA,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MD,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,DC,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NY,2017,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NY,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,DE,1995,All,Yes,"Del. Code tit. 11, § 1448(a)(4)","Any person who, as a juvenile, has been adjudicated as delinquent for conduct which, if committed by an adult, would constitute a felony, unless and until that person has reached his 25th birthday."
Does state law prohibit any people from having firearms based on other criminal history?,NJ,2012,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NJ,2012,Purchase,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,CT,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CT,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CT,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,VT,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NH,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MA,1995,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MA,1995,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,RI,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ME,1995,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,HI,2019,Possession,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,HI,2004,Purchase,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,AK,1996,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OR,1996,All,Yes,Or. Rev. Stat. § 166.250,"A person who (i)  While a minor, was found to be within the jurisdiction of the juvenile court for having committed an act which, if committed by an adult, would constitute a felony or a misdemeanor involving violence, as defined in ORS 166.470; and (ii)  Was discharged from the jurisdiction of the juvenile court within four years prior to being charged under this section."
Does state law prohibit any people from having firearms based on other criminal history?,WA,1996,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CA,1996,All,Yes,"Cal. Penal Code § 12021(d), (e)","A person who committed certain offenses as a juvenile and is adjudged a ward of the juvenile court, is prohibited from possessing a firearm until the age of 30 years."
Does state law prohibit any people from having firearms based on other criminal history?,NV,1996,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ID,1996,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,UT,1999,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,UT,1999,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AZ,1996,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MT,1996,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WY,1996,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NM,1996,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CO,1996,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ND,1996,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SD,1996,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NE,1996,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,TX,1996,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,KS,1996,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OK,1996,All,No,,
